Sample	Phylum	Host	Compartment	Seq_count
S-23-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	79571
S-24-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	51313
S-25-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	17067
S-26-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	25091
S-27-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	25212
S-3-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	14564
S-7-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	58649
S-8-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	88852
S-9-POLJUN-B	Acidobacteriota	P_juniperinum	Brown	57415
S-1-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	41888
S-10-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	15237
S-11-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	14255
S-12-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	18782
S-13-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	20181
S-14-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	16067
S-15-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	23443
S-16-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	13631
S-17-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	17112
S-18-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	12879
S-19-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	20277
S-2-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	38757
S-20-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	26054
S-21-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	26490
S-22-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	14530
S-23-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	14249
S-24-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	14241
S-25-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	28456
S-26-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	24482
S-27-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	21217
S-3-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	32936
S-7-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	27664
S-8-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	19630
S-9-POLJUN-B	Actinobacteriota	P_juniperinum	Brown	24142
S-1-POLJUN-B	Actinomycetota	P_juniperinum	Brown	4110
S-10-POLJUN-B	Actinomycetota	P_juniperinum	Brown	2037
S-11-POLJUN-B	Actinomycetota	P_juniperinum	Brown	2090
S-12-POLJUN-B	Actinomycetota	P_juniperinum	Brown	1907
S-13-POLJUN-B	Actinomycetota	P_juniperinum	Brown	1390
S-14-POLJUN-B	Actinomycetota	P_juniperinum	Brown	3207
S-15-POLJUN-B	Actinomycetota	P_juniperinum	Brown	1029
S-16-POLJUN-B	Actinomycetota	P_juniperinum	Brown	2464
S-17-POLJUN-B	Actinomycetota	P_juniperinum	Brown	3178
S-18-POLJUN-B	Actinomycetota	P_juniperinum	Brown	1823
S-19-POLJUN-B	Actinomycetota	P_juniperinum	Brown	4897
S-2-POLJUN-B	Actinomycetota	P_juniperinum	Brown	3423
S-20-POLJUN-B	Actinomycetota	P_juniperinum	Brown	2916
S-21-POLJUN-B	Actinomycetota	P_juniperinum	Brown	3527
S-22-POLJUN-B	Actinomycetota	P_juniperinum	Brown	1501
S-23-POLJUN-B	Actinomycetota	P_juniperinum	Brown	823
S-24-POLJUN-B	Actinomycetota	P_juniperinum	Brown	645
S-25-POLJUN-B	Actinomycetota	P_juniperinum	Brown	3977
S-26-POLJUN-B	Actinomycetota	P_juniperinum	Brown	1895
S-27-POLJUN-B	Actinomycetota	P_juniperinum	Brown	2773
S-3-POLJUN-B	Actinomycetota	P_juniperinum	Brown	4453
S-7-POLJUN-B	Actinomycetota	P_juniperinum	Brown	2555
S-8-POLJUN-B	Actinomycetota	P_juniperinum	Brown	3416
S-9-POLJUN-B	Actinomycetota	P_juniperinum	Brown	3837
S-1-POLJUN-B	Bacteroidota	P_juniperinum	Brown	7396
S-10-POLJUN-B	Bacteroidota	P_juniperinum	Brown	11775
S-11-POLJUN-B	Bacteroidota	P_juniperinum	Brown	6725
S-12-POLJUN-B	Bacteroidota	P_juniperinum	Brown	16216
S-13-POLJUN-B	Bacteroidota	P_juniperinum	Brown	2006
S-14-POLJUN-B	Bacteroidota	P_juniperinum	Brown	1477
S-15-POLJUN-B	Bacteroidota	P_juniperinum	Brown	3292
S-16-POLJUN-B	Bacteroidota	P_juniperinum	Brown	6013
S-17-POLJUN-B	Bacteroidota	P_juniperinum	Brown	3228
S-18-POLJUN-B	Bacteroidota	P_juniperinum	Brown	2728
S-19-POLJUN-B	Bacteroidota	P_juniperinum	Brown	27866
S-2-POLJUN-B	Bacteroidota	P_juniperinum	Brown	6971
S-20-POLJUN-B	Bacteroidota	P_juniperinum	Brown	7450
S-21-POLJUN-B	Bacteroidota	P_juniperinum	Brown	19041
S-22-POLJUN-B	Bacteroidota	P_juniperinum	Brown	1654
S-23-POLJUN-B	Bacteroidota	P_juniperinum	Brown	6278
S-24-POLJUN-B	Bacteroidota	P_juniperinum	Brown	1675
S-25-POLJUN-B	Bacteroidota	P_juniperinum	Brown	10511
S-26-POLJUN-B	Bacteroidota	P_juniperinum	Brown	11118
S-27-POLJUN-B	Bacteroidota	P_juniperinum	Brown	9980
S-3-POLJUN-B	Bacteroidota	P_juniperinum	Brown	6181
S-7-POLJUN-B	Bacteroidota	P_juniperinum	Brown	3172
S-8-POLJUN-B	Bacteroidota	P_juniperinum	Brown	4470
S-9-POLJUN-B	Bacteroidota	P_juniperinum	Brown	4136
S-1-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	3354
S-10-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	47926
S-11-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	43071
S-12-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	72159
S-13-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	39738
S-14-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	30663
S-15-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	14422
S-16-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	24376
S-17-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	17318
S-18-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	5760
S-19-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	77054
S-2-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	1773
S-20-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	38454
S-21-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	119277
S-22-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	65494
S-23-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	92579
S-24-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	87961
S-25-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	174839
S-26-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	108484
S-27-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	161412
S-3-POLJUN-B	Cyanobacteria	P_juniperinum	Brown	1389
