Sample	PCOA1	PCOA2	LocType	Month	Compartment	Microsite	Location	CoMoss	Vege1	Vege2	Vege3	Vege4	SoilMoisture	SoilpH	SiteHumidity	AmbientTemp	SoilTemp	OrgLayer	LeafLitter	LeafLitterSpec	Canopy	Host
S-3-POLCOM-B	-1.5715351068654946	-2.3682362594850495	Natural	September	Brown	R	Eastmain 2	NA	vacbor	pinban	rhogro	salixsp	6.57	5.22	56	22.4	12.5	2	High	vacbor	37.66	P_commune
S-3-POLCOM-G	-0.5651847210361479	-2.5673135799550058	Natural	September	Green	R	Eastmain 2	NA	vacbor	pinban	rhogro	salixsp	6.57	5.22	56	22.4	12.5	2	High	vacbor	37.66	P_commune
S-3-POLJUN-B	-0.5843462516004977	-1.584908351780368	Natural	September	Brown	P	Eastmain 1	NA	salixsp 	alninc	pinban	NA	7.76	5.08	73	17.5	14.6	0	High	alninc	62.42	P_juniperinum
S-3-POLJUN-G	0.5617073939887971	-1.5299297520219006	Natural	September	Green	P	Eastmain 1	NA	salixsp 	alninc	pinban	NA	7.76	5.08	73	17.5	14.6	0	High	alninc	62.42	P_juniperinum
S-3-POLPIL-B	0.768562382929067	1.5782434366074805	Natural	September	Brown	J	Chemin PK	polstr	alninc	betpap	picmar	NA	14.99	4.8	45	26.5	19	0	Low	alninc	64.38	P_piliferum
S-3-POLPIL-G	1.646543263396234	0.6879037315303047	Natural	September	Green	J	Chemin PK	polstr	alninc	betpap	picmar	NA	14.99	4.8	45	26.5	19	0	Low	alninc	64.38	P_piliferum
S-4-DICUND-B	-3.621197226421084	1.9267636897504277	Natural	September	Brown	V	Eastmain 2	plesp	pinban	rhogro	NA	NA	146.42	3.82	45	29.8	12.5	0	None	none	75.74	D_undulatum
S-4-DICUND-G	-2.306225663359525	1.27249249699727	Natural	September	Green	V	Eastmain 2	plesp	pinban	rhogro	NA	NA	146.42	3.82	45	29.8	12.5	0	None	none	75.74	D_undulatum
S-4-POLCOM-B	-2.4075062712727977	-1.6984497345241278	Natural	September	Brown	S	Eastmain 2	NA	vacbor 	pinban	salixsp 	NA	5.95	5.26	57	25.8	15.5	2	Medium	vacbor	25.86	P_commune
S-4-POLCOM-G	-0.5728958024418126	-2.644497997291269	Natural	September	Green	S	Eastmain 2	NA	vacbor 	pinban	salixsp 	NA	5.95	5.26	57	25.8	15.5	2	Medium	vacbor	25.86	P_commune
