"","block","plot","species","functional_div","species_richness","genus","group","PLOTID","X","Y","MONO","rel.abund.gym","UniqueID","biomass","volume","Wd","Seed.mass","LMA","Nmass","Amass","Llo"
"X567","C","M3","QURU",3,4,"Quercus","Angio","CM3",10,13,"notmono",0.75,"CM3QURU",1260948.36194606,2251693.50347511,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"s433","C","M4","PIAB",4,4,"Picea","Gymno","CM4",9,15,"notmono",1,"CM4PIAB",206652.796002778,558521.070277778,0.37,7,235.18,1.19,29.31,103.2
"X573","C","M4","PIGL",4,4,"Picea","Gymno","CM4",9,15,"notmono",1,"CM4PIGL",89068.9598472666,269905.938931111,0.33,2.4,302.86,1.28,35.58,50
"s398","C","M4","PISY",4,4,"Pinus","Gymno","CM4",9,15,"notmono",1,"CM4PISY",298431.620866901,707183.935703556,0.422,6,292.7551279,1.217940293,36.85035,27.90024909
"s419","C","M4","THOC",4,4,"Thuya","Gymno","CM4",9,15,"notmono",1,"CM4THOC",230205.576172,767351.920573333,0.3,1.5,223.0000016,1.02,32.22441,33
"X583","C","M5","PIGL",5,4,"Picea","Gymno","CM5",12,10,"notmono",0.5,"CM5PIGL",40134.2446926666,121618.923311111,0.33,2.4,302.86,1.28,35.58,50
"X601","C","M5","PIST",5,4,"Pinus","Gymno","CM5",12,10,"notmono",0.5,"CM5PIST",51496.675758889,151460.811055556,0.34,17,121.9153937,1.423333333,43.79823667,20
"X610","C","M5","QURO",5,4,"Quercus","Angio","CM5",12,10,"notmono",0.5,"CM5QURO",650733.407930665,1162023.94273333,0.56,3378,64.85453931,1.86,85.1,6.000673539
"X570","C","M5","TICO",5,4,"Tilia","Angio","CM5",12,10,"notmono",0.5,"CM5TICO",498148.293603341,1180753.97284444,0.42189,50.9,49.1117001,2.125,83.85,4.799544249
"X569","C","M6","BEPA",6,4,"Betula","Angio","CM6",11,13,"notmono",0.5,"CM6BEPA",2220206.48106795,4625430.16889156,0.48,0.3,85.50806324,2.208401667,195,5.5
"X574","C","M6","PIRU",6,4,"Picea","Gymno","CM6",11,13,"notmono",0.5,"CM6PIRU",10708.5998845,28942.16185,0.37,3.3,263,1.2,32,55
"s442","C","M6","PISY",6,4,"Pinus","Gymno","CM6",11,13,"notmono",0.5,"CM6PISY",49642.042488417,117635.1717735,0.422,6,292.7551279,1.217940293,36.85035,27.90024909
"X565","C","M6","QURO",6,4,"Quercus","Angio","CM6",11,13,"notmono",0.5,"CM6QURO",100571.826805334,179592.547866667,0.56,3378,64.85453931,1.86,85.1,6.000673539
"X596","C","M7","ACPL",7,4,"Acer","Angio","CM7",10,11,"notmono",0.25,"CM7ACPL",81935.3139648573,158635.651432444,0.5165,130.3,46.44681839,1.62,83.07,6.000673539
"s363","C","M7","ACSA",7,4,"Acer","Angio","CM7",10,11,"notmono",0.25,"CM7ACSA",107073.656092729,191202.957308444,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"X607","C","M7","BEPA",7,4,"Betula","Angio","CM7",10,11,"notmono",0.25,"CM7BEPA",2668053.8991008,5558445.62312667,0.48,0.3,85.50806324,2.208401667,195,5.5
"X566","C","M7","PIOM",7,4,"Picea","Gymno","CM7",10,11,"notmono",0.25,"CM7PIOM",5091.218298,14142.27305,0.36,2.9,285.7299176,1.182903124,29.39155,61.88640351
"X591","C","M8","ACPL",8,4,"Acer","Angio","CM8",7,17,"notmono",0.5,"CM8ACPL",494122.361484007,956674.465603111,0.5165,130.3,46.44681839,1.62,83.07,6.000673539
"s366","C","M8","BEPA",8,4,"Betula","Angio","CM8",7,17,"notmono",0.5,"CM8BEPA",498632.368446931,1038817.43426444,0.48,0.3,85.50806324,2.208401667,195,5.5
"X604","C","M8","PIAB",8,4,"Picea","Gymno","CM8",7,17,"notmono",0.5,"CM8PIAB",51995.6190457157,140528.700123556,0.37,7,235.18,1.19,29.31,103.2
"s431","C","M8","THOC",8,4,"Thuya","Gymno","CM8",7,17,"notmono",0.5,"CM8THOC",82309.5067376001,274365.022458667,0.3,1.5,223.0000016,1.02,32.22441,33
"X571","C","MM6A","ABBA",6,12,"Abies","Gymno","CMM6A",9,14,"notmono",0.5,"CMM6AABBA",25710.004672,77909.1050666667,0.33,7.6,143,1.45,50,84
"s405","C","MM6A","ACPL",6,12,"Acer","Angio","CMM6A",9,14,"notmono",0.5,"CMM6AACPL",1717925.70959073,3326090.434832,0.5165,130.3,46.44681839,1.62,83.07,6.000673539
"s416","C","MM6A","ACRU",6,12,"Acer","Angio","CMM6A",9,14,"notmono",0.5,"CMM6AACRU",716107.557125332,1461443.99413333,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"s392","C","MM6A","ACSA",6,12,"Acer","Angio","CMM6A",9,14,"notmono",0.5,"CMM6AACSA",443632.511690667,792200.913733333,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"s372","C","MM6A","BEAL",6,12,"Betula","Angio","CMM6A",9,14,"notmono",0.5,"CMM6ABEAL",256674.189038667,466680.343706667,0.55,1,46.08294931,2.2,206,5.5
"s380","C","MM6A","LALA",6,12,"Larix","Gymno","CMM6A",9,14,"notmono",0.5,"CMM6ALALA",599031.5366,1222513.34,0.49,2,120.0000005,1.355,59.41951,6
"X613","C","MM6A","PIAB",6,12,"Picea","Gymno","CMM6A",9,14,"notmono",0.5,"CMM6APIAB",40109.3167313332,108403.558733333,0.37,7,235.18,1.19,29.31,103.2
"s450","C","MM6A","PIRU",6,12,"Picea","Gymno","CMM6A",9,14,"notmono",0.5,"CMM6APIRU",14946.039,40394.7,0.37,3.3,263,1.2,32,55
"s421","C","MM6A","QURO",6,12,"Quercus","Angio","CMM6A",9,14,"notmono",0.5,"CMM6AQURO",568724.891728,1015580.1638,0.56,3378,64.85453931,1.86,85.1,6.000673539
"s451","C","MM6A","TICO",6,12,"Tilia","Angio","CMM6A",9,14,"notmono",0.5,"CMM6ATICO",3328061.72137937,7888458.4166,0.42189,50.9,49.1117001,2.125,83.85,4.799544249
"s437","C","MM6B","ACPL",5,12,"Acer","Angio","CMM6B",7,16,"notmono",0.75,"CMM6BACPL",631576.611229036,1222800.796184,0.5165,130.3,46.44681839,1.62,83.07,6.000673539
